Time (s),Min Depth (m),Throttle
44.99040126800537,0.0,0.0
45.056549310684204,0.0,0.0
45.124494314193726,0.0,0.0
45.18940591812134,0.0,0.0
45.2572705745697,0.0,0.0
45.32288455963135,0.0,0.0
45.390212059020996,0.0,0.0
45.457358598709106,0.0,0.0
45.52371382713318,0.0,0.0
45.58934807777405,1.7960001,0.06
45.65719985961914,0.0,0.0
45.724300384521484,0.0,0.0
45.790483474731445,0.0,0.0
45.85608673095703,0.0,0.0
45.923675298690796,0.0,0.0
45.98929953575134,0.0,0.0
46.057241678237915,0.0,0.0
46.12262773513794,0.0,0.0
46.190467834472656,0.0,0.0
46.25595474243164,0.0,0.0
46.32448601722717,0.0,0.0
46.389127254486084,0.0,0.0
46.4573450088501,0.0,0.0
46.52399659156799,0.0,0.0
46.590330362319946,0.0,0.0
46.65771794319153,0.0,0.0
46.72475075721741,0.0,0.0
46.79030919075012,0.0,0.0
46.85776996612549,0.0,0.0
46.92260217666626,0.0,0.0
46.99107766151428,1.8220001,0.06
47.05662155151367,0.0,0.0
47.12407612800598,0.0,0.0
47.189197301864624,0.0,0.0
47.25724744796753,0.0,0.0
47.32257556915283,0.0,0.0
47.39038348197937,0.0,0.0
47.456721782684326,0.0,0.0
47.523958921432495,0.0,0.0
47.58908152580261,0.0,0.0
47.65674448013306,0.0,0.0
47.72274374961853,0.0,0.0
47.79020166397095,0.0,0.0
47.85623812675476,0.0,0.0
47.92338752746582,0.0,0.0
47.98901557922363,0.0,0.0
48.05704712867737,0.0,0.0
48.123270750045776,0.0,0.0
48.19033145904541,0.0,0.0
48.255887031555176,0.0,0.0
48.32426977157593,0.0,0.0
48.389275312423706,0.0,0.0
48.456783056259155,1.7210001,0.06
48.52260994911194,0.0,0.0
48.59274435043335,0.0,0.0
48.6559374332428,1.8190001,0.06
48.724069356918335,0.0,0.0
48.789209842681885,0.0,0.0
48.857110023498535,0.0,0.0
48.922768354415894,0.0,0.0
48.9902822971344,0.0,0.0
49.05595827102661,0.0,0.0
49.12355351448059,0.0,0.0
49.189107179641724,0.0,0.0
49.25791692733765,0.0,0.0
49.32237148284912,1.8220001,0.06
49.389986515045166,0.0,0.0
49.455716609954834,0.0,0.0
49.52324342727661,0.0,0.0
49.5889790058136,0.0,0.0
49.65671682357788,0.0,0.0
